data_doi,data_title,data_authors,publicationYear,dates,registered,source-id,relation-type-id,subj_id,occurred-at,Page endpoint,pub_Title,pub_authors,publisher,pub_type,pub_date,pub_doi,data_publisher
10.5285/2641515f-5b76-445c-a936-1da51bf365ad,Exposure of burrowing mammals to Radon Rn-222 in Northwest England,"['Beresford, N.A.', 'Barnett, C.L.', 'Vives I Batlle, J.', 'Potter, E.D.', 'Ibrahimi, Z-F.', 'Barlow, T.S.', 'Schieb, C.', 'Jones, D.G.', 'Copplestone, D.']",2012,"[{'date': '2012-05-29', 'dateType': 'Submitted'}, {'date': '2012-04-16', 'dateType': 'Created'}, {'date': '2012', 'dateType': 'Issued'}]",2012-05-29T13:58:37.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1016/j.scitotenv.2012.05.023,2019-08-02T01:05:30.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Exposure of burrowing mammals to 222Rn,"[['N.A.', 'Beresford'], ['C.L.', 'Barnett'], ['J.', 'Vives i Batlle'], ['E.D.', 'Potter'], ['Z.-F.', 'Ibrahimi'], ['T.S.', 'Barlow'], ['C.', 'Schieb'], ['D.G.', 'Jones'], ['D.', 'Copplestone']]",journal-article,journal-article,"[[2012, 6, 10]]",10.1016/j.scitotenv.2012.05.023,Environmental Information Data Centre (EIDC)
10.5285/6feac38a-5847-46f9-84e4-e7e9d291f935,"Snow accumulation from the Bryan Coast ice core (BC11), Ellsworth Land, West Antarctica","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-10T16:43:38.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1002/2015gl065750,2019-08-01T11:28:04.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Twentieth century increase in snowfall in coastal West Antarctica,"[['E. R.', 'Thomas'], ['J. S.', 'Hosking'], ['R. R.', 'Tuckwell'], ['R. A.', 'Warren'], ['E. C.', 'Ludlow']]",journal-article,journal-article,"[[2015, 11, 3]]",10.1002/2015gl065750,Polar Data Centre (PDC)
10.5285/db55406b-c9a1-4a9e-88c2-2abbcb4bcad3,Foraging behaviour of Parus major held in temporary captivity,"['Thorogood, R', 'Kokko, H', 'Mappes, J']",2017,"[{'date': '2017-10-20', 'dateType': 'Submitted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-10-20T09:10:28.000Z,datacite-related,is-cited-by,https://doi.org/10.17863/cam.20713,2019-10-14T08:32:43.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Info not given,Info not given,Info not given,Info not given,Info not given,10.17863/cam.20713,Environmental Information Data Centre (EIDC)
10.5285/5321bc6e-be35-4ed3-9b56-25598d61ac8f,"Invertebrate activity data from an experiment in Malaysian Borneo, 2014-16 [HMTF]","['Griffiths, H.M.', 'Ashton, L.A.', 'Walker, A.E.', 'Hasan, R.', 'Evans, T.', 'Eggleton, P.', 'Parr, C.L.']",2017,"[{'date': '2017-06-29', 'dateType': 'Submitted'}, {'date': '2017-03-31', 'dateType': 'Created'}, {'date': '2017', 'dateType': 'Issued'}]",2017-06-29T14:31:55.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1111/1365-2656.12728,2019-10-01T19:01:02.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Ants are the major agents of resource removal from tropical rainforests,"[['Hannah M.', 'Griffiths'], ['Louise A.', 'Ashton'], ['Alice E.', 'Walker'], ['Fevziye', 'Hasan'], ['Theodore A.', 'Evans'], ['Paul', 'Eggleton'], ['Catherine L.', 'Parr']]",journal-article,journal-article,"[[2017, 8, 9]]",10.1111/1365-2656.12728,Environmental Information Data Centre (EIDC)
10.5285/c4ecfe25-12f2-453b-ad19-49a19e90ee32,Antarctic regional snow accumulation composites over the past 1000 years,"['Thomas, Elizabeth']",2017,"[{'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-13T10:43:51.000Z,datacite-crossref,is-cited-by,https://doi.org/10.5194/cp-2017-18,2019-08-01T11:27:16.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Review of regional Antarctic snow accumulation over the past 1000 years,"[['Elizabeth R.', 'Thomas'], ['J. Melchior', 'van Wessem'], ['Jason', 'Roberts'], ['Elisabeth', 'Isaksson'], ['Elisabeth', 'Schlosser'], ['TJ', 'Fudge'], ['Paul', 'Vallelonga'], ['Brooke', 'Medley'], ['Jan', 'Lenaerts'], ['Nancy', 'Bertler'], ['Michiel R.', 'van den Broeke'], ['Daniel A.', 'Dixon'], ['Massimo', 'Frezzotti'], ['Barbara', 'Stenni'], ['Mark', 'Curran'], ['Alexey A.', 'Ekaykin']]",posted-content,posted-content,"[[2017, 3, 28]]",10.5194/cp-2017-18,Polar Data Centre (PDC)
10.5285/1f44795b-e596-433c-b69f-caf674880daa,"Amundsen-Ross sea ice reconstruction based on data from the Ferrigno ice core (F10), Bryan Coast, West Antarctica","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-13T13:37:04.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1002/2016gl068130,2019-08-01T11:27:45.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Ice core reconstruction of sea ice change in the Amundsen‐Ross Seas since 1702 A.D.,"[['Elizabeth R.', 'Thomas'], ['Nerilie J.', 'Abram']]",journal-article,journal-article,"[[2016, 5, 7]]",10.1002/2016gl068130,Polar Data Centre (PDC)
10.5285/bc114581-413a-4c62-adb6-556155901f68,"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-13T13:59:14.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2007gl032529,2019-09-07T02:31:12.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,A doubling in snow accumulation in the western Antarctic Peninsula since 1850,"[['Elizabeth R.', 'Thomas'], ['Gareth J.', 'Marshall'], ['Joseph R.', 'McConnell']]",journal-article,journal-article,"[[2008, 1, 12]]",10.1029/2007gl032529,Polar Data Centre (PDC)
10.5285/bc114581-413a-4c62-adb6-556155901f68,"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-13T13:59:14.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2009gl040104,2019-09-07T02:31:12.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Ice core evidence for significant 100‐year regional warming on the Antarctic Peninsula,"[['E. R.', 'Thomas'], ['P. F.', 'Dennis'], ['T. J.', 'Bracegirdle'], ['C.', 'Franzke']]",journal-article,journal-article,"[[2009, 10, 23]]",10.1029/2009gl040104,Polar Data Centre (PDC)
10.5285/bc114581-413a-4c62-adb6-556155901f68,"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-13T13:59:14.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2009jd012263,2019-09-07T02:31:12.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Improving ice core interpretation using in situ and reanalysis data,"[['E. R.', 'Thomas'], ['T. J.', 'Bracegirdle']]",journal-article,journal-article,"[[2009, 10, 27]]",10.1029/2009jd012263,Polar Data Centre (PDC)
10.5285/9ab1541b-e71a-4d75-9907-968d47755e99,"Snow accumulation from the Ferrigno ice core (F10), Bryan Coast, West Antarctica","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-10T16:24:41.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1002/2015gl065750,2019-11-27T18:31:58.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Twentieth century increase in snowfall in coastal West Antarctica,"[['E. R.', 'Thomas'], ['J. S.', 'Hosking'], ['R. R.', 'Tuckwell'], ['R. A.', 'Warren'], ['E. C.', 'Ludlow']]",journal-article,journal-article,"[[2015, 11, 3]]",10.1002/2015gl065750,Polar Data Centre (PDC)
