relationshipType,pubTitle,pubDate,pubID,datasetDOI,datasetTitle,datasetAuthors,datasetPublisher,pubAuthors_processed,PubType
IsRelatedTo,Intercomparison of joint bias correction methods for precipitation and flow from a hydrological perspective,2022-01-01,1983/d8668059-85de-4c12-a1f8-67a5147130cc,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Dawei Han', 'Kue Bum Kim', 'Hyun-Han Kwon']",not a doi
IsRelatedTo,Hydrological Concept Formation inside Long Short-Term Memory (LSTM) networks,2022-01-01,1871.1/9e316b0a-56c6-48a2-817b-92f5b1b37738,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Reetik Kumar Sahu', 'Jens de Bruijn', 'Jens de Bruijn', 'Daniel Klotz', 'Thomas Lees', 'Thomas Lees', 'Simon Dadson', 'Louise J. Slater', 'Frederik Kratzert', 'Peter Greve', 'Steven Reece', 'Martin Gauch']",not a doi
IsRelatedTo,A Data Scientist's Guide to Streamflow Prediction,2020-06-05,10.48550/arxiv.2006.12975,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Gauch, Martin', 'Lin, Jimmy']",article
IsRelatedTo,CAMELS-GB: hydrometeorological time series and landscape attributes for 671 catchments in Great Britain,2020-10-12,10.5194/essd-12-2459-2020,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['G. Coxon', 'G. Coxon', 'N. Addor', 'N. Addor', 'J. P. Bloomfield', 'J. Freer', 'J. Freer', 'J. Freer', 'M. Fry', 'J. Hannaford', 'J. Hannaford', 'N. J. K. Howden', 'N. J. K. Howden', 'R. Lane', 'M. Lewis', 'E. L. Robinson', 'T. Wagener', 'T. Wagener', 'R. Woods', 'R. Woods']",journal-article
IsRelatedTo,Caravan - A global community dataset for large-sample hydrology,2023-01-31,20.500.11850/599329,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Frederik Kratzert', 'Grey Nearing', 'Nans Addor', 'Tyler Erickson', 'Martin Gauch', 'Oren Gilon', 'Lukas Gudmundsson', 'Avinatan Hassidim', 'Daniel Klotz', 'Sella Nevo', 'Guy Shalev', 'Yossi Matias']",not a doi
IsRelatedTo,Multi-model ensemble benchmark data for hydrological modeling in Japanese river basins,2022-01-01,10.3178/hrl.16.73,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Yohei Sawada', 'Shinichi Okugawa', 'Takayuki Kimizuka']",journal-article
IsRelatedTo,How is Baseflow Index (BFI) impacted by water resource management practices,2021-10-05,10.5194/hess-25-5355-2021,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['John P. Bloomfield', 'Nans Addor', 'Gemma Coxon', 'Mengyi Gong', 'Mengyi Gong', 'Benjamin P. Marchant']",journal-article
IsRelatedTo,Theoretical and empirical evidence against the  Budyko catchment trajectory conjecture,2022-03-18,10.5194/hess-26-1507-2022,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Nathan G. F. Reaver', 'David A. Kaplan', 'Harald Klammler', 'James W. Jawitz']",journal-article
IsRelatedTo,Hydrological Concept Formation inside Long Short-Term Memory (LSTM) networks,2022-01-01,1871.1/9e316b0a-56c6-48a2-817b-92f5b1b37738,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Reetik Kumar Sahu', 'Jens de Bruijn', 'Jens de Bruijn', 'Daniel Klotz', 'Thomas Lees', 'Thomas Lees', 'Simon Dadson', 'Louise J. Slater', 'Frederik Kratzert', 'Peter Greve', 'Steven Reece', 'Martin Gauch']",not a doi
IsRelatedTo,A Framework for Estimating the Probability Distribution of Event Runoff Coefficient in Ungauged Catchments,2023-01-01,10.1029/2022wr033227,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Yanchen Zheng', 'Gemma Coxon', 'Ross Woods', 'Jianzhu Li', 'Ping Feng']",journal-article
