data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type,pub_doi,pub_title,pub_date,pub_authors,pub_type,pub_publisher,source_id
10.5285/ec921bc2-5538-47ed-9e72-0d687b4ca4d3,Environmental Information Data Centre (EIDC),"UK maps of habitat suitability surfaces at 1km resolution for mammals, lichens, bryophytes, plants and invertebrates 2000-2015",2022.0,"['Boyd, R.', 'Pescott, O.L.', 'Ball, S.', 'Barber, T.', 'Boardman, P.', 'Fox, R.', 'Harrower, C.', 'Harvey, M.', 'Haysom, K.', 'Julian, A.', 'MacAdam, C.', 'Mathews, F.', 'Morris, R.', 'Palmer, S.', 'Preston, C.', 'Roy, D.', 'Simkin, J.', 'Taylor, P.', 'Walker, K.', 'Ward, R.']",references,https://www.theccc.org.uk/publication/uk-rural-land-use-archetypes-part-2/,"UK rural land use archetypes - part two (UKCEH, Eunomia, and University of East Anglia) - Climate Change Committee",2025-05-21,['Committee on Climate Change'],Publication,Committee on Climate Change,overton
10.5285/94ae1a5a-2a28-4315-8d4b-35ae964fc3b9,Environmental Information Data Centre (EIDC),MultiMOVE Model: Ensemble niche modelling of British vegetation v2.0.1,2015.0,"['Henrys, P.A.', 'Butler, A.', 'Jarvis, S.G.', 'Smart, S.M.', 'Fang, Z.']",references,https://gov.wales/habitat-suitability-modelling-scoping-study,Habitat suitability modelling: scoping study,2020-11-16,['The Welsh Government'],Publication,The Welsh Government,overton
10.5285/94ae1a5a-2a28-4315-8d4b-35ae964fc3b9,Environmental Information Data Centre (EIDC),MultiMOVE Model: Ensemble niche modelling of British vegetation v2.0.1,2015.0,"['Henrys, P.A.', 'Butler, A.', 'Jarvis, S.G.', 'Smart, S.M.', 'Fang, Z.']",references,https://www.gov.wales/habitat-suitability-modelling-scoping-study,Habitat suitability modelling: scoping study,2019-09-12,['The Welsh Government'],Publication,The Welsh Government,overton
10.5285/2f835517-253e-4697-b774-ab6ff2c0d3da,Environmental Information Data Centre (EIDC),Grid-to-Grid model estimates of river flow for Great Britain driven by observed data (1980 to 2011),2021.0,"['Kay, A.L.', 'Rudd, A.C.', 'Davies, H.N.', 'Lane, R.A.', 'Bell, V.A.']",references,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/21915,Review of the Classification Framework for Ecological Status/Potential under the Water Environment (Water Framework Directive) England and Wales Regulations,2025-05-01,"['Water', 'Department for Environment, Food & Rural Affairs']",Publication,"Department for Environment, Food & Rural Affairs",overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/916,EODIP MIO7 The role of earth observation in an integrated framework for assessing peatland habitat condition and its impact on greenhouse gas accounting,2021-06-30,"['CSA - Chief Scientific Adviser', 'Department for Environment, Food & Rural Affairs']",Publication,"Department for Environment, Food & Rural Affairs",overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,https://www.ons.gov.uk/releases/seminaturalhabitatsaccountsuk2020,"Semi-natural habitats accounts, UK: 2021",2021-02-10,['Office for National Statistics'],Publication,Office for National Statistics,overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,https://www.unsdsn.org/resources/pathways-to-sustainable-land-use-and-food-systems,Pathways to Sustainable Land-Use & Food Systems,2020-12-01,['Sustainable Development Solutions Network'],Publication,Sustainable Development Solutions Network,overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,https://www.planthealthcentre.scot/publications/using-modelling-investigate-effectiveness-national-surveillance-monitoring-aimed,Using modelling to investigate the effectiveness of national surveillance monitoring aimed at detecting a Xylella fastidiosa outbreak in Scotland,2019-11-01,['Plant Health Centre'],Publication,Plant Health Centre,overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,https://www.centreforcities.org/publication/homes-on-the-right-tracks/,Homes on the right tracks,2019-09-23,['Paul Cheshire and Boyana Buyuklieva'],Publication,Centre for Cities,overton
10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (vector, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",references,https://www.unsdsn.org/resources/pathways-to-sustainable-land-use-and-food-systems-report,Pathways to Sustainable Land-Use and Food Systems Report,2019-07-25,['Sustainable Development Solutions Network'],Publication,Sustainable Development Solutions Network,overton
10.5285/f7ef2dc5-2bce-4436-8f65-90f7a99acff2,Environmental Information Data Centre (EIDC),National Plant Monitoring Scheme survey data (2015-2022),2023.0,['National Plant Monitoring Scheme '],references,http://cdm21006.contentdm.oclc.org/cdm/ref/collection/p21006coll3/id/21259,Living England 2022-23,2024-08-29,"['Biodiversity and Ecosystem Evidence Programme', 'Department for Environment, Food & Rural Affairs']",Publication,"Department for Environment, Food & Rural Affairs",overton
10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (10m classified pixels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://www.greatermanchester-ca.gov.uk/media/9526/gm-state-of-nature-report.pdf,Greater Manchester State of Nature,2024-03-05,['Greater Manchester Combined Authority'],Publication,Greater Manchester Combined Authority,overton
10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (10m classified pixels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://www.greatermanchester-ca.gov.uk/media/0i3din2b/appendix-3-greater-manchester-state-of-nature-report.pdf,Greater Manchester State of Nature,2024-03-05,['Greater Manchester Combined Authority'],Publication,Greater Manchester Combined Authority,overton
