data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,citation_event_source,PubCitationStr
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1016/j.gr.2022.01.006,journal-article,"Crustal structure and tectonic evolution of Greater Maldive Ridge, Western Indian Ocean, in the context of plume-ridge interaction","['Priyesh Kunnummal', 'S.P. Anand']",Scholix,"Kunnummal, P., & Anand, S. P. (2022). Crustal structure and tectonic evolution of Greater Maldive Ridge, Western Indian Ocean, in the context of plume-ridge interaction. Gondwana Research, 106, 142â163. https://doi.org/10.1016/j.gr.2022.01.006
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1038/s43247-022-00574-8,journal-article,Projected climate variability of internal waves in the Andaman Sea,"['Prof. A D Rao', 'Badarvada Yadidya']",Scholix,"Yadidya, B., & Rao, A. D. (2022). Projected climate variability of internal waves in the Andaman Sea. Communications Earth &amp; Environment, 3(1). https://doi.org/10.1038/s43247-022-00574-8
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/rs14112675,journal-article,Deep-Sea Seabed Sediment Classification Using Finely Processed Multibeam Backscatter Intensity Data in the Southwest Indian Ridge,"['Qiuhua Tang', 'Jie Li', 'Deqiu Ding', 'Xue Ji', 'Ningning Li', 'Lei Yang', 'Weikang Sun']",Scholix,"Tang, Q., Li, J., Ding, D., Ji, X., Li, N., Yang, L., & Sun, W. (2022). Deep-Sea Seabed Sediment Classification Using Finely Processed Multibeam Backscatter Intensity Data in the Southwest Indian Ridge. Remote Sensing, 14(11), 2675. https://doi.org/10.3390/rs14112675
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1080/21664250.2022.2117585,journal-article,A new tsunami hazard assessment for eastern Makran subduction zone by considering splay faults and applying stochastic modeling,"['Payam Momeni', 'Katsuichiro Goda', 'Mohammad Mokhtari', 'Mohammad Heidarzadeh']",Scholix,"Momeni, P., Goda, K., Mokhtari, M., & Heidarzadeh, M. (2022). A new tsunami hazard assessment for eastern Makran subduction zone by considering splay faults and applying stochastic modeling. Coastal Engineering Journal, 65(1), 67â96. https://doi.org/10.1080/21664250.2022.2117585
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1080/17538947.2022.2108923,journal-article,Mapping China’s offshore mariculture based on dense time-series optical and radar data,"['Xiaoliang Liu', 'Zhihua Wang', 'Xiaomei Yang', 'Yueming Liu', 'Bin Liu', 'Junyao Zhang', 'Ku Gao', 'Dan Meng', 'Yaxin Ding']",Scholix,"Liu, X., Wang, Z., Yang, X., Liu, Y., Liu, B., Zhang, J., Gao, K., Meng, D., & Ding, Y. (2022). Mapping Chinaâs offshore mariculture based on dense time-series optical and radar data. International Journal of Digital Earth, 15(1), 1326â1349. https://doi.org/10.1080/17538947.2022.2108923
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1175/jpo-d-22-0031.1,journal-article,Multidecadal Fluctuations of SST and Euphotic Zone Temperature off Northwest Africa,"['Hamed Ibrahim', 'Yunfang Sun']",Scholix,"Ibrahim, H. D., & Sun, Y. (2022). Multidecadal Fluctuations of SST and Euphotic Zone Temperature off Northwest Africa. Journal of Physical Oceanography, 52(12), 3077â3099. https://doi.org/10.1175/jpo-d-22-0031.1
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1007/s00300-022-03033-4,journal-article,Population characteristics of benthopelagic Gymnoscopelus nicholsi (Pisces: Myctophidae) on the continental shelf of South Georgia (Southern Ocean) during austral summer,"['Ryan A. Saunders', 'Philip R. Hollyman', 'Sally E. Thorpe', 'Martin A. Collins']",Scholix,"Saunders, R. A., Hollyman, P. R., Thorpe, S. E., & Collins, M. A. (2022). Population characteristics of benthopelagic Gymnoscopelus nicholsi (Pisces: Myctophidae) on the continental shelf of South Georgia (Southern Ocean) during austral summer. Polar Biology, 45(5), 789â807. https://doi.org/10.1007/s00300-022-03033-4
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3389/fmicb.2023.1101902,journal-article,Nitrogen cycling activities during decreased stratification in the coastal oxygen minimum zone off Namibia,['Aurèle Vuillemin'],Scholix,"Vuillemin, A. (2023). Nitrogen cycling activities during decreased stratification in the coastal oxygen minimum zone off Namibia. Frontiers in Microbiology, 14. https://doi.org/10.3389/fmicb.2023.1101902
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1080/00222933.2022.2074906,journal-article,Discovery of a new species of <i>Paronesimoides</i> (Crustacea: Amphipoda: Tryphosidae) from a cold seep of Mariana Trench,"['Ko Tomikawa', 'Hiromi Kayama Watanabe', 'Katsuhiko Tanaka', 'Yasuhiko Ohara']",Scholix,"Tomikawa, K., Watanabe, H. K., Tanaka, K., & Ohara, Y. (2022). Discovery of a new species of Paronesimoides (Crustacea: Amphipoda: Tryphosidae) from a cold seep of Mariana Trench. Journal of Natural History, 56(5â8), 463â474. https://doi.org/10.1080/00222933.2022.2074906
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1038/s41561-022-01003-3,journal-article,Deep hydration and lithospheric thinning at oceanic transform plate boundaries,"['Zhikai Wang', 'Satish C. Singh', 'Cécile Prigent', 'Emma P. M. Gregory', 'Milena Marjanović']",Scholix,"Wang, Z., Singh, S. C., Prigent, C., Gregory, E. P. M., & MarjanoviÄ, M. (2022). Deep hydration and lithospheric thinning at oceanic transform plate boundaries. Nature Geoscience, 15(9), 741â746. https://doi.org/10.1038/s41561-022-01003-3
"
