data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,publication_date,citation_event_source,PubCitationStr,data_doi_url,publication_doi_url,publicationYear
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.1080/01431161.2021.1988185,journal-article,Exploring the potential of SCAT-SAR SWI for soil moisture retrievals at selected COSMOS-UK sites,"['Dimitrios Triantakonstantis', 'Owen D. Howells', 'Prashant K. Srivastava', 'George P. Petropoulos', 'Ionut Sandric']",2021-11-22,Scholix,"Howells, O.D., Petropoulos, G.P., Srivastava, P.K., Triantakonstantis, D. & Sandric, I. (2021) Exploring the potential of SCAT-SAR SWI for soil moisture retrievals at selected COSMOS-UK sites. International Journal of Remote Sensing 42, 9155–9169. https://doi.org/10.1080/01431161.2021.1988185
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.1080/01431161.2021.1988185,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.5194/gmd-14-7287-2021,journal-article,Cosmic-Ray neutron Sensor PYthon tool (crspy): An open-source tool for the processing of cosmic-ray neutron and soil moisture data,"['D. Power', 'M. A. Rico-Ramirez', 'S. Desilets', 'D. Desilets', 'R. Rosolem', 'R. Rosolem']",2021-11-30,Scholix,"Power, D., Rico-Ramirez, M.A., Desilets, S., Desilets, D. & Rosolem, R. (2021) Cosmic-Ray neutron Sensor PYthon tool (crspy 1.2.1): an open-source tool for the processing of cosmic-ray neutron and soil moisture data. Geoscientific Model Development 14, 7287–7307. https://doi.org/10.5194/gmd-14-7287-2021
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.5194/gmd-14-7287-2021,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.1007/s12665-022-10721-1,journal-article,Examining the variation of soil moisture from cosmic-ray neutron probes footprint: experimental results from a COSMOS-UK site,"['Owen D. Howells', 'George P. Petropoulos', 'Dimitris Triantakonstantis', 'Zacharias Ioannou', 'Prashant K. Srivastava', 'Spyridon E. Detsikas', 'George Stavroulakis']",2023-01-01,Scholix,"Howells, O.D., Petropoulos, G.P., Triantakonstantis, D., Ioannou, Z., Srivastava, P.K., Detsikas, S.E. & Stavroulakis, G. (2023) Examining the variation of soil moisture from cosmic-ray neutron probes footprint: experimental results from a COSMOS-UK site. Environmental Earth Sciences 82. https://doi.org/10.1007/s12665-022-10721-1
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.1007/s12665-022-10721-1,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.5285/37702a54-b7a4-40ff-b62e-d14b161b69ca,dataset,Daily and sub-daily hydrometeorological and soil data (2013-2018) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",2020-01-01,Scholix,"Stanley, S., Antoniou, V., Askquith-Ellis, A., et al. (2020) Daily and sub-daily hydrometeorological and soil data (2013-2018) [COSMOS-UK]. https://doi.org/10.5285/37702A54-B7A4-40FF-B62E-D14B161B69CA
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.5285/37702a54-b7a4-40ff-b62e-d14b161b69ca,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.1109/tgrs.2022.3175256,journal-article,Retrieval of Sub-Kilometric Relative Surface Soil Moisture With Sentinel-1 Utilizing Different Backscatter Normalization Factors,"['William Maslanka', 'Keith Morrison', 'Kevin White', 'Anne Verhoef', 'Joanna Clark']",2022-01-01,Scholix,"Maslanka, W., Morrison, K., White, K., Verhoef, A. & Clark, J. (2022) Retrieval of Sub-Kilometric Relative Surface Soil Moisture With Sentinel-1 Utilizing Different Backscatter Normalization Factors. IEEE Transactions on Geoscience and Remote Sensing 60, 1–13. https://doi.org/10.1109/tgrs.2022.3175256
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.1109/tgrs.2022.3175256,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.5194/essd-13-1737-2021,journal-article,COSMOS-UK: national soil moisture and hydrometeorology data for environmental science research,"['H. M. Cooper', 'E. Bennett', 'J. Blake', 'E. Blyth', 'D. Boorman', 'E. Cooper', 'J. Evans', 'M. Fry', 'A. Jenkins', 'R. Morrison', 'D. Rylett', 'S. Stanley', 'M. Szczykulska', 'E. Trill', 'V. Antoniou', 'A. Askquith-Ellis', 'L. Ball', 'M. Brooks', 'M. A. Clarke', 'N. Cowan', 'A. Cumming', 'P. Farrand', 'O. Hitt', 'O. Hitt', 'W. Lord', 'P. Scarlett', 'O. Swain', 'J. Thornton', 'J. Thornton', 'A. Warwick', 'B. Winterbourn', 'B. Winterbourn']",2021-04-28,Scholix,"Cooper, H.M., Bennett, E., Blake, J., et al. (2021) COSMOS-UK: national soil moisture and hydrometeorology data for environmental science research. Earth System Science Data 13, 1737–1757. https://doi.org/10.5194/essd-13-1737-2021
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.5194/essd-13-1737-2021,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.5285/5060cc27-0b5b-471b-86eb-71f96da0c80f,dataset,Daily and sub-daily hydrometeorological and soil data (2013-2022) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Harvey, D.', 'Houghton-Carr, H.', 'Howson, T.', 'Khamis, D.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', ""O'Callaghan, F."", 'Rylett, D.', 'Scarlett, P.M.', 'Smith, R.', 'Swain, O.D.', 'Szczykulska, M.', 'Teagle, S.', 'Thornton, J.L.', 'Trill, E.J.', 'Ward, H.C.', 'Warwick, A.C.', 'Winterbourn, J.B.']",2023-01-01,Scholix,"Stanley, S., Antoniou, V., Askquith-Ellis, A., et al. (2023) Daily and sub-daily hydrometeorological and soil data (2013-2022) [COSMOS-UK]. https://doi.org/10.5285/5060CC27-0B5B-471B-86EB-71F96DA0C80F
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.5285/5060cc27-0b5b-471b-86eb-71f96da0c80f,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",IsRelatedTo,10.5194/hess-25-2445-2021,journal-article,Using data assimilation to optimize pedotransfer functions using field-scale in situ soil moisture observations,"['E. Cooper', 'E. Blyth', 'H. Cooper', 'R. Ellis', 'E. Pinnington', 'S. J. Dadson', 'S. J. Dadson']",2021-05-01,Scholix,"Cooper, E., Blyth, E., Cooper, H., Ellis, R., Pinnington, E. & Dadson, S.J. (2021) Using data assimilation to optimize pedotransfer functions using field-scale in situ soil moisture observations. Hydrology and Earth System Sciences 25, 2445–2458. https://doi.org/10.5194/hess-25-2445-2021
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.5194/hess-25-2445-2021,2021
Environmental Information Data Centre (EIDC),10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",references,10.1016/j.catena.2023.107058,journal-article,Impacts of measured soil hydraulic conductivity on the space–time simulations of water and nitrogen cycling,"[['Chuang', 'Liu'], ['Yan', 'Shan'], ['Qiuming', 'Wang'], ['Paul', 'Harris'], ['Yi', 'Liu'], ['Lianhai', 'Wu']]",2023-03-09,CrossRef,"Liu, C., Shan, Y., Wang, Q., Harris, P., Liu, Y. & Wu, L. (2023) Impacts of measured soil hydraulic conductivity on the space–time simulations of water and nitrogen cycling. CATENA 226, 107058. https://doi.org/10.1016/j.catena.2023.107058
",doi.org/10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,doi.org/10.1016/j.catena.2023.107058,2021
Environmental Information Data Centre (EIDC),10.5285/b745e7b1-626c-4ccc-ac27-56582e77b900,Climate hydrology and ecology research support system meteorology dataset for Great Britain (1961-2015) [CHESS-met] v1.2,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']",IsRelatedTo,10.1016/j.jhydrol.2023.129118,journal-article,A hybrid Budyko-type regression framework for estimating baseflow from climate and catchment attributes,"['Shuai Chen', 'Xiaohong Ruan']",2023-03-01,Scholix,"Chen, S. & Ruan, X. (2023) A hybrid Budyko-type regression framework for estimating baseflow from climate and catchment attributes. Journal of Hydrology 618, 129118. https://doi.org/10.1016/j.jhydrol.2023.129118
",doi.org/10.5285/b745e7b1-626c-4ccc-ac27-56582e77b900,doi.org/10.1016/j.jhydrol.2023.129118,2017
