data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type,pub_doi,pub_title,pub_date,pub_authors,source_id,pub_publisher,pub_type,data_page_number,data_self_link,publicationYear
10.5285/1de712d3-081e-4b44-b880-b6a1ebf9fcd8,Environmental Information Data Centre (EIDC),State tagging application for environmental data quality assurance,2020.0,"['Tso, C.M.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/38f382d6-e39e-4e6d-9951-1f5aa04a1a8c,Environmental Information Data Centre (EIDC),"Data from automatic water monitoring buoy from Blelham Tarn, 2008 to 2011",2017.0,"['Jones, I.', 'Feuchtmayr, H.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/393a5946-8a22-4350-80f3-a60d753beb00,Environmental Information Data Centre (EIDC),"Surface temperature, surface oxygen, water clarity, water chemistry and phytoplankton chlorophyll a data from Blelham Tarn, 1945 to 2013",2017.0,"['Maberly, S.C.', 'Brierley, B.', 'Carter, H.T.', 'Clarke, M.A.', 'De Ville, M.M.', 'Fletcher, J.M.', 'James, J.B.', 'Keenan, P.', 'Kelly, J.L.', 'Mackay, E.B.', 'Parker, J.E.', 'Patel, M.', 'Pereira, M.G.', 'Rhodes, G.', 'Tanna, B.', 'Thackeray, S.J.', 'Vincent, C.', 'Feuchtmayr, H.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,Environmental Information Data Centre (EIDC),UK Environmental Change Network (ECN) butterfly data: 1993-2015,2017.0,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Tilbury, C.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Wood, C.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,Environmental Information Data Centre (EIDC),UK Environmental Change Network (ECN) moth data: 1992-2015,2017.0,"['Rennie, S.', 'Adamson, J.', 'Anderson, R.', 'Andrews, C.', 'Bater, J.', 'Bayfield, N.', 'Beaton, K.', 'Beaumont, D.', 'Benham, S.', 'Bowmaker, V.', 'Britt, C.', 'Brooker, R.', 'Brooks, D.', 'Brunt, J.', 'Common, G.', 'Cooper, R.', 'Corbett, S.', 'Critchley, N.', 'Dennis, P.', 'Dick, J.', 'Dodd, B.', 'Dodd, N.', 'Donovan, N.', 'Easter, J.', 'Flexen, M.', 'Gardiner, A.', 'Hamilton, D.', 'Hargreaves, P.', 'Hatton-Ellis, M.', 'Howe, M.', 'Kahl, J.', 'Lane, M.', 'Langan, S.', 'Lloyd, D.', 'McCarney, B.', 'McElarney, Y.', 'McKenna, C.', 'McMillan, S.', 'Milne, F.', 'Milne, L.', 'Morecroft, M.', 'Murphy, M.', 'Nelson, A.', 'Nicholson, H.', 'Pallett, D.', 'Parry, D.', 'Pearce, I.', 'Pozsgai, G.', 'Riley, A.', 'Rose, R.', 'Schafer, S.', 'Scott, T.', 'Sherrin, L.', 'Shortall, C.', 'Smith, R.', 'Smith, P.', 'Tait, R.', 'Taylor, C.', 'Taylor, M.', 'Thurlow, M.', 'Turner, A.', 'Tyson, K.', 'Watson, H.', 'Whittaker, M.', 'Woiwod, I.', 'Wood, C.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/505d1e0c-ab60-4a60-b448-68c5bbae403e,Environmental Information Data Centre (EIDC),"Land Cover Map 2015 (1km percentage target class, GB)",2017.0,"['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",is-referenced-by,10.5194/egusphere-egu2020-4613,State tagging for improved earth and environmental data quality assurance,9/3/2020,"[['Michael', 'Tso'], ['Peter', 'Henrys'], ['Susannah', 'Rennie'], ['John', 'Watkins']]",datacite-crossref,posted-content,posted-content,,,2020
10.5285/6feac38a-5847-46f9-84e4-e7e9d291f935,Polar Data Centre (PDC),"Snow accumulation from the Bryan Coast ice core (BC11), Ellsworth Land, West Antarctica",2017.0,"['Thomas, Elizabeth']",is-cited-by,10.1002/2015gl065750,Twentieth century increase in snowfall in coastal West Antarctica,3/11/2015,"[['E. R.', 'Thomas'], ['J. S.', 'Hosking'], ['R. R.', 'Tuckwell'], ['R. A.', 'Warren'], ['E. C.', 'Ludlow']]",datacite-crossref,journal-article,journal-article,,,2015
10.5285/1f44795b-e596-433c-b69f-caf674880daa,Polar Data Centre (PDC),"Amundsen-Ross sea ice reconstruction based on data from the Ferrigno ice core (F10), Bryan Coast, West Antarctica",2017.0,"['Thomas, Elizabeth']",is-cited-by,10.1002/2016gl068130,Ice core reconstruction of sea ice change in the Amundsen‐Ross Seas since 1702 A.D.,7/5/2016,"[['Elizabeth R.', 'Thomas'], ['Nerilie J.', 'Abram']]",datacite-crossref,journal-article,journal-article,,,2016
10.5285/bc114581-413a-4c62-adb6-556155901f68,Polar Data Centre (PDC),"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']",is-cited-by,10.1029/2007gl032529,A doubling in snow accumulation in the western Antarctic Peninsula since 1850,12/1/2008,"[['Elizabeth R.', 'Thomas'], ['Gareth J.', 'Marshall'], ['Joseph R.', 'McConnell']]",datacite-crossref,journal-article,journal-article,,,2008
10.5285/bc114581-413a-4c62-adb6-556155901f68,Polar Data Centre (PDC),"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']",is-cited-by,10.1029/2009gl040104,Ice core evidence for significant 100‐year regional warming on the Antarctic Peninsula,23/10/2009,"[['E. R.', 'Thomas'], ['P. F.', 'Dennis'], ['T. J.', 'Bracegirdle'], ['C.', 'Franzke']]",datacite-crossref,journal-article,journal-article,,,2009
