data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type_id,publication_doi,publication_title,publication_date,publication_authors,citation_event_source,pub_publisher,publication_type,data_page_number,data_self_link,publicationYear,PubCitationStr,data_doi_url,publication_doi_url,date_added
10.5285/2641515f-5b76-445c-a936-1da51bf365ad,Environmental Information Data Centre (EIDC),Exposure of burrowing mammals to Radon Rn-222 in Northwest England,2012.0,"['Beresford, N.A.', 'Barnett, C.L.', 'Vives i Batlle, J.', 'Potter, E.D.', 'Ibrahimi, Z.', 'Barlow, T.S.', 'Schieb, C.', 'Jones, D.G.', 'Copplestone, D.']",is-cited-by,10.1016/j.scitotenv.2012.05.023,Exposure of burrowing mammals to 222Rn,10/6/2012,"[['N.A.', 'Beresford'], ['C.L.', 'Barnett'], ['J.', 'Vives i Batlle'], ['E.D.', 'Potter'], ['Z.-F.', 'Ibrahimi'], ['T.S.', 'Barlow'], ['C.', 'Schieb'], ['D.G.', 'Jones'], ['D.', 'Copplestone']]",datacite-crossref,journal-article,journal-article,,,2012,"Beresford, N.A., Barnett, C.L., Vives i Batlle, J., Potter, E.D., Ibrahimi, Z.-F., Barlow, T.S., Schieb, C., Jones, D.G. & Copplestone, D. (2012) Exposure of burrowing mammals to 222Rn. Science of The Total Environment 431, 252–261. https://doi.org/10.1016/j.scitotenv.2012.05.023
",doi.org/10.5285/2641515f-5b76-445c-a936-1da51bf365ad,doi.org/10.1016/j.scitotenv.2012.05.023,2025-10-15
10.5285/5321bc6e-be35-4ed3-9b56-25598d61ac8f,Environmental Information Data Centre (EIDC),"Invertebrate activity data from an experiment in Malaysian Borneo, 2014-16 [HMTF]",2017.0,"['Griffiths, H.M.', 'Ashton, L.A.', 'Walker, A.E.', 'Hasan, R.', 'Evans, T.', 'Eggleton, P.', 'Parr, C.L.']",is-cited-by,10.1111/1365-2656.12728,Ants are the major agents of resource removal from tropical rainforests,9/8/2017,"[['Hannah M.', 'Griffiths'], ['Louise A.', 'Ashton'], ['Alice E.', 'Walker'], ['Fevziye', 'Hasan'], ['Theodore A.', 'Evans'], ['Paul', 'Eggleton'], ['Catherine L.', 'Parr']]",datacite-crossref,journal-article,journal-article,,,2017,"Griffiths, H.M., Ashton, L.A., Walker, A.E., Hasan, F., Evans, T.A., Eggleton, P. & Parr, C.L. (2017) Ants are the major agents of resource removal from tropical rainforests. ed. by N. Sanders. Journal of Animal Ecology 87, 293–300. https://doi.org/10.1111/1365-2656.12728
",doi.org/10.5285/5321bc6e-be35-4ed3-9b56-25598d61ac8f,doi.org/10.1111/1365-2656.12728,2025-10-15
10.5285/c4ecfe25-12f2-453b-ad19-49a19e90ee32,Polar Data Centre (PDC),Antarctic regional snow accumulation composites over the past 1000 years,2017.0,"['Thomas, Elizabeth']",is-cited-by,10.5194/cp-2017-18,Review of regional Antarctic snow accumulation over the past 1000 years,28/3/2017,"[['Elizabeth R.', 'Thomas'], ['J. Melchior', 'van Wessem'], ['Jason', 'Roberts'], ['Elisabeth', 'Isaksson'], ['Elisabeth', 'Schlosser'], ['TJ', 'Fudge'], ['Paul', 'Vallelonga'], ['Brooke', 'Medley'], ['Jan', 'Lenaerts'], ['Nancy', 'Bertler'], ['Michiel R.', 'van den Broeke'], ['Daniel A.', 'Dixon'], ['Massimo', 'Frezzotti'], ['Barbara', 'Stenni'], ['Mark', 'Curran'], ['Alexey A.', 'Ekaykin']]",datacite-crossref,posted-content,posted-content,,,2017,"Thomas, E.R., van Wessem, J.M., Roberts, J., et al. (2017) Review of regional Antarctic snow accumulation over the past 1000 years. https://doi.org/10.5194/cp-2017-18
",doi.org/10.5285/c4ecfe25-12f2-453b-ad19-49a19e90ee32,doi.org/10.5194/cp-2017-18,2025-10-15
10.5285/21a8fca5-8eae-48e4-93c0-bc6b4433e34c,Polar Data Centre (PDC),"Stable isotope data and snow accumulation from the Dyer Plateau ice core, drilled 1989-90, Palmer Land, Antarctic Peninsula",2017.0,"['Mulvaney, Robert']",is-cited-by,10.3189/172756494794587438,"Climate since AD 1510 on Dyer Plateau, Antarctic Peninsula: evidence for recent climate change",25/9/2017,"[['L. G.', 'Thompson'], ['D. A.', 'Peel'], ['E.', 'Mosley-thompson'], ['R.', 'Mulvaney'], ['J.', 'Dal'], ['P. N.', 'Lin'], ['M. E.', 'Davis'], ['C. F.', 'Raymond']]",datacite-crossref,journal-article,journal-article,,,2017,"Thompson, L.G., Peel, D.A., Mosley-thompson, E., Mulvaney, R., Dal, J., Lin, P.N., Davis, M.E. & Raymond, C.F. (1994) Climate since AD 1510 on Dyer Plateau, Antarctic Peninsula: evidence for recent climate change. Annals of Glaciology 20, 420–426. https://doi.org/10.3189/1994aog20-1-420-426
",doi.org/10.5285/21a8fca5-8eae-48e4-93c0-bc6b4433e34c,doi.org/10.3189/172756494794587438,2025-10-15
10.5285/0f074839-1630-4ccd-aa63-84d0da16b28a,Environmental Information Data Centre (EIDC),"Invertebrate biomass, vegetation cover, and  environmental data from Hengill, Iceland",2017.0,"[""O'Gorman, E.J."", 'Robinson, S.I.', 'McLaughlin, Ó.B.', 'Marteinsdóttir, B.']",is-cited-by,10.1111/1365-2656.12798,Soil temperature effects on the structure and diversity of plant and invertebrate communities in a natural warming experiment,25/1/2018,"[['Sinikka I.', 'Robinson'], ['Órla B.', 'McLaughlin'], ['Bryndís', 'Marteinsdóttir'], ['Eoin J.', ""O'Gorman""]]",datacite-crossref,journal-article,journal-article,,,2018,"Robinson, S.I., McLaughlin, Ó.B., Marteinsdóttir, B. & O’Gorman, E.J. (2018) Soil temperature effects on the structure and diversity of plant and invertebrate communities in a natural warming experiment. ed. by M. Rodriguez‐Cabal. Journal of Animal Ecology 87, 634–646. https://doi.org/10.1111/1365-2656.12798
",doi.org/10.5285/0f074839-1630-4ccd-aa63-84d0da16b28a,doi.org/10.1111/1365-2656.12798,2025-10-15
10.5285/cc1d42de-dfe6-40aa-a1a6-d45cb2fc8293,Polar Data Centre (PDC),Antarctic regional snow accumulation composites over the past 1000 years,2017.0,"['Thomas, Elizabeth']",is-cited-by,10.5194/cp-2017-18,Review of regional Antarctic snow accumulation over the past 1000 years,28/3/2017,"[['Elizabeth R.', 'Thomas'], ['J. Melchior', 'van Wessem'], ['Jason', 'Roberts'], ['Elisabeth', 'Isaksson'], ['Elisabeth', 'Schlosser'], ['TJ', 'Fudge'], ['Paul', 'Vallelonga'], ['Brooke', 'Medley'], ['Jan', 'Lenaerts'], ['Nancy', 'Bertler'], ['Michiel R.', 'van den Broeke'], ['Daniel A.', 'Dixon'], ['Massimo', 'Frezzotti'], ['Barbara', 'Stenni'], ['Mark', 'Curran'], ['Alexey A.', 'Ekaykin']]",datacite-crossref,posted-content,posted-content,,,2017,"Thomas, E.R., van Wessem, J.M., Roberts, J., et al. (2017) Review of regional Antarctic snow accumulation over the past 1000 years. https://doi.org/10.5194/cp-2017-18
",doi.org/10.5285/cc1d42de-dfe6-40aa-a1a6-d45cb2fc8293,doi.org/10.5194/cp-2017-18,2025-10-15
10.5285/dada63fb-c40a-4b13-97ba-c53860881d79,Polar Data Centre (PDC),Water column and ice thickness measurements of the Filchner-Ronne Ice Shelf derived from point seismic observations collected between 2015-2017,2018.0,"['Rosier, Sebastian', 'Hofstede, Coen', 'Brisbourne, Alex', 'Hattermann, Tore', 'Davis, Peter', 'Anker, Paul', 'Gudmundsson, Hilmar', 'Hugh, Corr']",is-cited-by,10.1029/2018jc013982,A New Bathymetry for the Southeastern Filchner‐Ronne Ice Shelf: Implications for Modern Oceanographic Processes and Glacial History,8/6/2018,"[['S. H. R.', 'Rosier'], ['C.', 'Hofstede'], ['A. M.', 'Brisbourne'], ['T.', 'Hattermann'], ['K. W.', 'Nicholls'], ['P. E. D.', 'Davis'], ['P. G. D.', 'Anker'], ['C.‐D.', 'Hillenbrand'], ['A. M.', 'Smith'], ['H. F. J.', 'Corr']]",datacite-crossref,journal-article,journal-article,,,2018,"Rosier, S.H.R., Hofstede, C., Brisbourne, A.M., Hattermann, T., Nicholls, K.W., Davis, P.E.D., Anker, P.G.D., Hillenbrand, C. ‐D., Smith, A.M. & Corr, H.F.J. (2018) A New Bathymetry for the Southeastern Filchner‐Ronne Ice Shelf: Implications for Modern Oceanographic Processes and Glacial History. Journal of Geophysical Research: Oceans 123, 4610–4623. https://doi.org/10.1029/2018jc013982
",doi.org/10.5285/dada63fb-c40a-4b13-97ba-c53860881d79,doi.org/10.1029/2018jc013982,2025-10-15
10.5285/3578bae2-4b88-4b2e-93e1-6965dfe1348c,Environmental Information Data Centre (EIDC),Nitrogen fixation and phosphatase activity of 97 nitrogen-fixing and non-fixing trees in Panama,2018.0,"['Batterman, S.A.', 'Hall, J.S.', 'Turner, B.', 'Hedin, L.O.', 'LaHaela Walter, J.K.', 'Sheldon, P.', 'van Breugel, M.']",is-cited-by,10.1111/ele.13129,"Phosphatase activity and nitrogen fixation reflect species differences, not nutrient trading or nutrient balance, across tropical rainforest trees",7/8/2018,"[['Sarah A.', 'Batterman'], ['Jefferson S.', 'Hall'], ['Benjamin L.', 'Turner'], ['Lars O.', 'Hedin'], ['J. Kimiko', 'LaHaela Walter'], ['Pete', 'Sheldon'], ['Michiel', 'van Breugel']]",datacite-crossref,journal-article,journal-article,,,2018,"Batterman, S.A., Hall, J.S., Turner, B.L., Hedin, L.O., LaHaela Walter, J.K., Sheldon, P. & van Breugel, M. (2018) Phosphatase activity and nitrogen fixation reflect species differences, not nutrient trading or nutrient balance, across tropical rainforest trees. ed. by L. Liu. Ecology Letters 21, 1486–1495. https://doi.org/10.1111/ele.13129
",doi.org/10.5285/3578bae2-4b88-4b2e-93e1-6965dfe1348c,doi.org/10.1111/ele.13129,2025-10-15
10.5285/a1ab8c79-3426-43a4-ab42-6d1b218d1cc6,Environmental Information Data Centre (EIDC),Elemental concentrations in representative species of the ICRP's Reference Animals and Plants and associated soils in terrestrial Mediterranean ecosystems in Spain,2017.0,"['Guillén, J.', 'Izquierdo, M.', 'Young, S.', 'Wells, C.', 'Barnett, C.L.', 'Beresford, N.A.', 'Baeza, A.', 'Salas, A.', 'Muñóz-Serrano, A.', 'Corrales-Vázquez, J.M.', 'Muñoz-Muñoz, J.G.', 'Tovar, E.', 'Chaplow, J.S.']",is-cited-by,10.1016/j.jenvrad.2017.06.024,Transfer parameters for ICRP's Reference Animals and Plants in a terrestrial Mediterranean ecosystem,14/9/2017,"[['J.', 'Guillén'], ['N.A.', 'Beresford'], ['A.', 'Baeza'], ['M.', 'Izquierdo'], ['M.D.', 'Wood'], ['A.', 'Salas'], ['A.', 'Muñoz-Serrano'], ['J.M.', 'Corrales-Vázquez'], ['J.G.', 'Muñoz-Muñoz']]",datacite-crossref,journal-article,journal-article,,,2017,"Guillén, J., Beresford, N.A., Baeza, A., Izquierdo, M., Wood, M.D., Salas, A., Muñoz-Serrano, A., Corrales-Vázquez, J.M. & Muñoz-Muñoz, J.G. (2018) Transfer parameters for ICRP’s Reference Animals and Plants in a terrestrial Mediterranean ecosystem. Journal of Environmental Radioactivity 186, 9–22. https://doi.org/10.1016/j.jenvrad.2017.06.024
",doi.org/10.5285/a1ab8c79-3426-43a4-ab42-6d1b218d1cc6,doi.org/10.1016/j.jenvrad.2017.06.024,2026-01-19
10.5285/0cf552a6-cd62-4da0-8289-8e4bab0a35a8,Polar Data Centre (PDC),Basal Melt Rate Beneath Pine Island Ice Shelf (2014),2018.0,"['Lok, Lai Bun', 'Nicholls, Keith', 'Brennan, Paul', 'Davis, Peter']",is-referenced-by,10.1029/2018jc014464,Variability in Basal Melting Beneath Pine Island Ice Shelf on Weekly to Monthly Timescales,15/11/2018,"[['Peter E. D.', 'Davis'], ['Adrian', 'Jenkins'], ['Keith W.', 'Nicholls'], ['Paul V.', 'Brennan'], ['E. Povl', 'Abrahamsen'], ['Karen J.', 'Heywood'], ['Pierre', 'Dutrieux'], ['Kyoung‐Ho', 'Cho'], ['Tae‐Wan', 'Kim']]",datacite-crossref,journal-article,journal-article,,,2018,"Davis, P.E.D., Jenkins, A., Nicholls, K.W., Brennan, P.V., Abrahamsen, E.P., Heywood, K.J., Dutrieux, P., Cho, K. & Kim, T. (2018) Variability in Basal Melting Beneath Pine Island Ice Shelf on Weekly to Monthly Timescales. Journal of Geophysical Research: Oceans 123, 8655–8669. https://doi.org/10.1029/2018jc014464
",doi.org/10.5285/0cf552a6-cd62-4da0-8289-8e4bab0a35a8,doi.org/10.1029/2018jc014464,2025-10-15
