data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,pub_publication_titleTitle,publication_authors,citation_event_source
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1007/s10531-020-01938-2,journal-article,"An empirical, cross-taxon evaluation of landscape-scale connectivity","['Hunter-Ayad, James', 'Hassall, Christopher']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1111/jfr3.12464,journal-article,"Design flood estimation and utility of high‐resolution calibration data in small, heavily urbanised catchments","['Vesuviano, G.', 'Miller, J.D.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1016/j.agee.2019.106619,journal-article,Seeded ryegrass fills the late winter ‘hungry gap’ but fails to enhance local population size of seed-eating farmland birds,"['Will J. Peach', 'Steve Dodd', 'Ian Johnstone']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.5194/bg-15-1497-2018,journal-article,Estimation of gross land-use change and its uncertainty using a Bayesian data assimilation approach,"['Levy, Peter', 'van Oijen, Marcel', 'Buys, Gwen', 'Tomlinson, Sam']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1080/21606544.2019.1611481,journal-article,"Prior knowledge, familiarity and stated policy consequentiality in contingent valuation","['Needham, Katherine', 'Hanley, Nick']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.3390/su13031456,journal-article,Evaluating the Feasibility of Water Sharing as a Drought Risk Management Tool for Irrigated Agriculture,"['Rishma Chengot', 'Ian P. Holman', 'Jerry W. Knox']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1016/j.scitotenv.2019.02.228,journal-article,"Sources of dissolved organic carbon (DOC) in a mixed land use catchment (Exe, UK).","['Ritson, J. P.', 'Croft, J. K.', 'Clark, J. M.', 'Brazier, R. E.', 'Templeton, M. R.', 'Smith, D.', 'Graham, N. J. D.', 'South West Water']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1007/s10980-019-00822-x,journal-article,Linking mesoscale landscape heterogeneity and biodiversity: gardens and tree cover significantly modify flower-visiting beetle communities,"['Foster, Christopher W.', 'Neumann, Jessica L.', 'Holloway, Graham J.']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1002/pan3.10042,journal-article,Scale dependency in drivers of outdoor recreation in England,"['Graham, Laura J.', 'Eigenbrod, Felix']",Scholix
Environmental Information Data Centre (EIDC),10.5285/bb15e200-9349-403c-bda9-b430093807c7,"Land Cover Map 2015 (25m raster, GB)","['Rowland, C.S.', 'Morton, R.D.', 'Carrasco, L.', 'McShane, G.', ""O'Neil, A.W."", 'Wood, C.M.']",IsReferencedBy,10.1002/ece3.5613,journal-article,The influence of different aspects of grouse moorland management on nontarget bird assemblages.,"['Tom H. E. Mason', 'Rob Jaques', 'Martin Hughes', 'Nick A. Littlewood', 'Mark J. Whittingham', 'Stephen G. Willis']",Scholix
