pub_doi,source-id,relation-type-id,data_doi,data_publisher,data_title,data_publication_year,data_authors
https://doi.org/10.1016/j.scitotenv.2012.05.023,datacite-crossref,is-cited-by,10.5285/2641515f-5b76-445c-a936-1da51bf365ad,Environmental Information Data Centre (EIDC),Exposure of burrowing mammals to Radon Rn-222 in Northwest England,2012.0,"['Beresford, N.A.', 'Barnett, C.L.', 'Vives i Batlle, J.', 'Potter, E.D.', 'Ibrahimi, Z-F.', 'Barlow, T.S.', 'Schieb, C.', 'Jones, D.G.', 'Copplestone, D.']"
https://doi.org/10.1002/2015gl065750,datacite-crossref,is-cited-by,10.5285/6feac38a-5847-46f9-84e4-e7e9d291f935,Polar Data Centre (PDC),"Snow accumulation from the Bryan Coast ice core (BC11), Ellsworth Land, West Antarctica",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.17863/cam.20713,datacite-related,is-cited-by,10.5285/db55406b-c9a1-4a9e-88c2-2abbcb4bcad3,Environmental Information Data Centre (EIDC),Foraging behaviour of Parus major held in temporary captivity,2017.0,"['Thorogood, R', 'Kokko, H', 'Mappes, J']"
https://doi.org/10.1111/1365-2656.12728,datacite-crossref,is-cited-by,10.5285/5321bc6e-be35-4ed3-9b56-25598d61ac8f,Environmental Information Data Centre (EIDC),"Invertebrate activity data from an experiment in Malaysian Borneo, 2014-16 [HMTF]",2017.0,"['Griffiths, H.M.', 'Ashton, L.A.', 'Walker, A.E.', 'Hasan, R.', 'Evans, T.', 'Eggleton, P.', 'Parr, C.L.']"
https://doi.org/10.5194/cp-2017-18,datacite-crossref,is-cited-by,10.5285/c4ecfe25-12f2-453b-ad19-49a19e90ee32,Polar Data Centre (PDC),Antarctic regional snow accumulation composites over the past 1000 years,2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1002/2016gl068130,datacite-crossref,is-cited-by,10.5285/1f44795b-e596-433c-b69f-caf674880daa,Polar Data Centre (PDC),"Amundsen-Ross sea ice reconstruction based on data from the Ferrigno ice core (F10), Bryan Coast, West Antarctica",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1029/2007gl032529,datacite-crossref,is-cited-by,10.5285/bc114581-413a-4c62-adb6-556155901f68,Polar Data Centre (PDC),"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1029/2009gl040104,datacite-crossref,is-cited-by,10.5285/bc114581-413a-4c62-adb6-556155901f68,Polar Data Centre (PDC),"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1029/2009jd012263,datacite-crossref,is-cited-by,10.5285/bc114581-413a-4c62-adb6-556155901f68,Polar Data Centre (PDC),"Snow accumulation from the Gomez ice core (GZ07), South-western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1002/2015gl065750,datacite-crossref,is-cited-by,10.5285/9ab1541b-e71a-4d75-9907-968d47755e99,Polar Data Centre (PDC),"Snow accumulation from the Ferrigno ice core (F10), Bryan Coast, West Antarctica",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.3189/172756494794587438,datacite-crossref,is-cited-by,10.5285/21a8fca5-8eae-48e4-93c0-bc6b4433e34c,Polar Data Centre (PDC),"Stable isotope data and snow accumulation from the Dyer Plateau ice core, drilled 1989-90, Palmer Land, Antarctic Peninsula",2017.0,"['Mulvaney, Robert']"
https://doi.org/10.1029/2007gl032529,datacite-crossref,is-cited-by,10.5285/d77dd930-654b-4d09-99bd-8df3b00025a8,Polar Data Centre (PDC),"Stable isotope data from the Gomez ice core (GZ07), Bryan Coast, South-Western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1029/2009gl040104,datacite-crossref,is-cited-by,10.5285/d77dd930-654b-4d09-99bd-8df3b00025a8,Polar Data Centre (PDC),"Stable isotope data from the Gomez ice core (GZ07), Bryan Coast, South-Western Antarctic Peninsula",2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1111/1365-2656.12798,datacite-crossref,is-cited-by,10.5285/0f074839-1630-4ccd-aa63-84d0da16b28a,Environmental Information Data Centre (EIDC),"Invertebrate biomass, vegetation cover, and environmental data from Hengill, Iceland",2017.0,"[""O'Gorman, E.J."", 'Robinson, S.I', 'McLaughlin, Ó.B.', 'Marteinsdóttir, B.']"
https://doi.org/10.5194/cp-2017-18,datacite-crossref,is-cited-by,10.5285/cc1d42de-dfe6-40aa-a1a6-d45cb2fc8293,Polar Data Centre (PDC),Antarctic regional snow accumulation composites over the past 1000 years,2017.0,"['Thomas, Elizabeth']"
https://doi.org/10.1029/2018jc013982,datacite-crossref,is-cited-by,10.5285/dada63fb-c40a-4b13-97ba-c53860881d79,Polar Data Centre (PDC),Water column and ice thickness measurements of the Filchner-Ronne Ice Shelf derived from point seismic observations collected between 2015-2017,2018.0,"['Rosier, Sebastian', 'Hofstede, Coen', 'Brisbourne, Alex', 'Hattermann, Tore', 'Davis, Peter', 'Anker, Paul', 'Gudmundsson, Hilmar', 'Hugh, Corr']"
https://doi.org/10.1175/jcli-d-17-0320.1,datacite-crossref,is-cited-by,10.5285/3952a4fe-683a-42e7-a074-bdec41c8ab16,Polar Data Centre (PDC),Southern Hemisphere tropospheric westerly jet: 1979-present,2018.0,"['Bracegirdle, Thomas']"
https://doi.org/10.1111/ele.13129,datacite-crossref,is-cited-by,10.5285/3578bae2-4b88-4b2e-93e1-6965dfe1348c,Environmental Information Data Centre (EIDC),Nitrogen fixation and phosphatase activity of 97 nitrogen-fixing and non-fixing trees in Panama,2018.0,"['Batterman, S.A.', 'Hall, J.S.', 'Turner, B.', 'Hedin, L.O.', 'LaHaela Walter, J.K.', 'Sheldon, P.', 'van Breugel, M.']"
https://doi.org/10.1016/j.jenvrad.2017.06.024,datacite-crossref,is-cited-by,10.5285/a1ab8c79-3426-43a4-ab42-6d1b218d1cc6,Environmental Information Data Centre (EIDC),Elemental concentrations in representative species of the ICRP's Reference Animals and Plants and associated soils in terrestrial Mediterranean ecosystems in Spain,2017.0,"['Guillén, J.', 'Izquierdo, M.', 'Young, S.', 'Wells, C.', 'Barnett, C.L.', 'Beresford, Nicholas A.', 'Baeza, A.', 'Salas, A.', 'Muñóz-Serrano, A.', 'Corrales-Vázquez, J.M.', 'Muñoz-Muñoz, J.G.', 'Tovar, E.', 'Chaplow, J.S.']"
https://doi.org/10.1029/2018jc014464,datacite-crossref,is-referenced-by,10.5285/0cf552a6-cd62-4da0-8289-8e4bab0a35a8,Polar Data Centre (PDC),Basal Melt Rate Beneath Pine Island Ice Shelf (2014),2018.0,"['Lok, Lai Bun', 'Nicholls, Keith', 'Brennan, Paul', 'Davis, Peter']"
https://doi.org/10.5285/4859dc19-e8e9-4148-8c50-cb2ab16dc696,datacite-related,is-referenced-by,10.5285/65abc40d-e256-414b-8b50-a5569556d1be,Polar Data Centre (PDC),"Point cloud data and visualisation of an englacial cut-and-closure channel on Austre Broggerbreen, Svalbard, in March 2016",2019.0,"['Kamintzis, Jayne', 'Jennings, Stephen', 'Irvine-Fynn, Tristram', 'Holt, Thomas', 'Jones, John', 'Hubbard, Bryn', 'Bunting, Pete']"
https://doi.org/10.5285/65abc40d-e256-414b-8b50-a5569556d1be,datacite-related,is-referenced-by,10.5285/4859dc19-e8e9-4148-8c50-cb2ab16dc696,Polar Data Centre (PDC),"Point cloud data and visualisation of the englacial channel exiting the portal of Austre Broggerbreen, Svalbard, in March 2017",2019.0,"['Kamintzis, Jayne', 'Jennings, Stephen', 'Porter, Philip', 'Irvine-Fynn, Tristram', 'Holt, Thomas', 'Jones, John', 'Hubbard, Bryn']"
https://doi.org/10.5285/c11bdb27-df44-4b56-8f4c-afc51b6e1e3a,datacite-related,is-referenced-by,10.5285/b5ffac8a-9846-4f86-9a71-3ce992a18148,Polar Data Centre (PDC),3D shear wave (Vsv) velocity model of West Antarctic crustal structure,2019.0,"[""O'Donnell, John Paul"", 'Stuart, Graham', 'Brisbourne, Alexander']"
https://doi.org/10.1016/j.cub.2017.04.034,datacite-crossref,is-referenced-by,10.5285/b5689abb-4eba-49b3-b6b9-a9e29a8af579,Polar Data Centre (PDC),"150 year, multi-proxy moss bank data of biological response to climate change from the Antarctic Peninsula",2017.0,"['Amesbury, Matthew', 'Charman, Dan', 'Convey, Pete', 'Griffiths, Howard', 'Hodgson, Dominic', 'Roland, Tom', 'Royles, Jessica']"
https://doi.org/10.5194/essd-9-445-2017,datacite-crossref,is-referenced-by,10.5285/57f97915-8ff1-473b-8c77-2564cbd747bc,Environmental Information Data Centre (EIDC),Countryside Survey 2007 vegetation plot data,2014.0,"['Bunce, R.G.H.', 'Carey, P.D.', 'Maskell, L.C.', 'Norton, L.R.', 'Scott, R.J.', 'Smart, S.M.', 'Wood, C.M.']"
https://doi.org/10.1111/2041-210x.12779,datacite-crossref,is-referenced-by,10.5285/57f97915-8ff1-473b-8c77-2564cbd747bc,Environmental Information Data Centre (EIDC),Countryside Survey 2007 vegetation plot data,2014.0,"['Bunce, R.G.H.', 'Carey, P.D.', 'Maskell, L.C.', 'Norton, L.R.', 'Scott, R.J.', 'Smart, S.M.', 'Wood, C.M.']"
https://doi.org/10.1080/13658816.2016.1158823,datacite-crossref,is-referenced-by,10.5285/fdf8c8d3-5998-45a5-8431-7f5e6302fc32,Environmental Information Data Centre (EIDC),"Land Cover Map 2007 (1km percentage target class, GB) v1.2",2014.0,"['Morton, R.D.', 'Rowland, C.S.', 'Wood, C.M.', 'Meek, L.', 'Marston, C.G.', 'Smith, G.M.']"
https://doi.org/10.5285/902fc4d8-db74-46c9-b7eb-c988f5325903,datacite-related,is-referenced-by,10.5285/ba29d42b-ebee-4da8-9861-f46277e14b5d,Polar Data Centre (PDC),"Detailed water quality parameters at Adventdalen, Svalbard (2015-2016)",2019.0,"['Nowak, Aga', 'Hodson, Andrew']"
