pub_title,pub_authors,pub_date,pub_doi,relation_type,data_doi
Greater Manchester State of Nature,['Greater Manchester Combined Authority'],2024-03-05,https://www.greatermanchester-ca.gov.uk/media/9526/gm-state-of-nature-report.pdf,references,10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a
Greater Manchester State of Nature,['Greater Manchester Combined Authority'],2024-03-05,https://www.greatermanchester-ca.gov.uk/media/0i3din2b/appendix-3-greater-manchester-state-of-nature-report.pdf,references,10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a
Greater Manchester State of Nature,['Greater Manchester Combined Authority'],2024-03-04,https://democracy.greatermanchester-ca.gov.uk/mgConvert2PDF.aspx?ID=31629,references,10.5285/a22baa7c-5809-4a02-87e0-3cf87d4e223a
Review of stochastic and other approaches in water resources planning,['Environment Agency'],2025-06-06,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,references,10.5285/f710bed1-e564-47bf-b82c-4c2a2fe2810e
Review of stochastic and other approaches in water resources planning,['Environment Agency'],2025-06-06,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,references,10.5285/44c577d3-665f-40de-adce-74ecad7b304a
Review of stochastic and other approaches in water resources planning,['Environment Agency'],2025-06-06,https://www.gov.uk/government/publications/review-of-stochastic-and-other-approaches-in-water-resources-planning,references,10.5285/dbf13dd5-90cd-457a-a986-f2f9dd97e93c
The potential of ecological and epidemiological models to inform assessment and mitigation of biosecurity risks arising from large scale planting,['Plant Health Centre'],2021-10-01,https://www.planthealthcentre.scot/publications/potential-ecological-and-epidemiological-models-inform-assessment-and-mitigation,references,10.5285/8f09b7e6-6daa-4823-b338-4edad8de1461
"UK rural land use archetypes - part two (UKCEH, Eunomia, and University of East Anglia) - Climate Change Committee",['Committee on Climate Change'],2025-05-21,https://www.theccc.org.uk/publication/uk-rural-land-use-archetypes-part-2/,references,10.5285/ec921bc2-5538-47ed-9e72-0d687b4ca4d3
Document to inform a Habitats Regulations Assessment for Rostherne Mere Ramsar site and Midland Meres and Mosses Phase 1 Ramsar site (EC-016-00003),['High Speed Two (HS2) Limited'],2022-01-25,https://www.gov.uk/government/publications/document-to-inform-a-habitats-regulations-assessment-for-rostherne-mere-ramsar-site-and-midland-meres-and-mosses-phase-1-ramsar-site-ec-016-00003,references,10.5285/d329f4d6-95ba-4134-b77a-a377e0755653
"Glossary, abbreviations and references",['High Speed Two (HS2) Limited'],2022-01-24,https://www.gov.uk/government/publications/glossary-abbreviations-and-references,references,10.5285/d329f4d6-95ba-4134-b77a-a377e0755653
Water resources assessment (WR-003-0MA06),['High Speed Two (HS2) Limited'],2022-01-24,https://www.gov.uk/government/publications/water-resources-assessment-wr-003-0ma06,references,10.5285/d329f4d6-95ba-4134-b77a-a377e0755653
Mitigating climate change impacts on the water quality of Scottish standing waters | CREW | Scotland's Centre of Expertise for Waters,['Center of Expertise for Waters'],2024-03-20,https://www.crew.ac.uk/publication/mitigating-climate-change-phase-2,references,10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7
Användningen av satellitdata för att utveckla miljöövervakningen i Sverige: En syntes,['Naturvårdsverket'],2022-12-06,http://naturvardsverket.diva-portal.org/smash/get/diva2:1717304/FULLTEXT01.pdf,references,10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7
Användningen av satellitdata för att utveckla miljöövervakningen i Sverige – En syntes,['IVL Svenska Miljöinstitutet'],2022-12-06,https://www.ivl.se/publikationer/publikationer/anvandningen-av-satellitdata-for-att-utveckla-miljoovervakningen-i-sverige---en-syntes.html,references,10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7
Sustainable Farming Scheme: Carbon Sequestration Evidence Review Panel: full report,['The Welsh Government'],2025-04-30,https://www.gov.wales/sustainable-farming-scheme-carbon-sequestration-evidence-review-panel-full-report,references,10.5285/a1f85307-cad7-4e32-a445-84410efdfa70
